idx,true_label,stage1_score,lmm_score,reason,error_lmm
12887,1,0.6785714285714286,0.9,"Название содержит необычные или подозрительные слова, бренд nan может быть ошибкой, цена значительно ниже средней, товар новый и продавец молодой.",0
7627,0,0.10810810810810811,0.9,"```json
{
    ""score"": 0.9,
    ""reason"": ""Некоторые детали в описании напоминают оригинальную наклейку, но бренд Glueskin может быть ошибкой. Цена немного выше среднего, но не сильно. Небольшая стоим",1
23106,0,0.11650485436893206,0.9,"```json
{
    ""score"": 0.9,
    ""reason"": ""Некоторые детали в описании напоминают оригинальную модель, но есть несколько несоответствий (например, использование большого количества специальных символо",1
1398,0,0.6556603773584906,0.9,"Молодой товар и продавец, цена значительно ниже медианы, бренд BIG при наличии Bluetooth и проводного соединения в названии — typosquatting геймпада.",1
20913,0,0.11650485436893206,0.9,"Средняя стоимость, оригинальный бренд, новый товар и продавец, небольшая цена относительно медианы.",1
7603,0,0.11650485436893206,0.9,"Молодой товар и продавец, цена значительно ниже медианы, бренд Revega Store при наличии ковриков для мышек — typosquatting.",1
22384,0,0.10810810810810811,0.9,"Долгий срок владения товаром и продавцом, высокая цена относительно медианы, бренд Glueskin, который обычно выпускает качественные продукты.",1
3845,0,0.11650485436893206,0.9,"Название содержит бренд Huawei, хотя указан бренд nan. Цена значительно выше средней цены в категории, что может указывать на контрафакт. Небольшая стоимость возвратов также подчеркивает высокую ценность товара.",1
13937,1,0.8273092369477911,0.9,"Название и описание очень похожи на оригинальное, бренд nan может быть ошибкой или фальсификацией, цена значительно ниже средней, возраст товара короткий, продавец молодой.",0
8168,0,0.11650485436893206,0.9,"Название содержит бренд Ferrari, который может быть ошибкой. Бренд Revega Store имеет высокую цену относительно медианы, что указывает на возможное контрафактное предложение.",1
13837,0,0.6012558869701726,0.9,"Название содержит бренд Huawei, хотя указано nan вместо бренда. Цена выше средней цены, что может указывать на завышение стоимости.",1
17250,0,0.11650485436893206,0.9,"Сложная конструкция и функциональность, бренд SYNCO, цена ниже средней, продавец старше товара, низкие возвраты.",1
13272,0,0.6012558869701726,0.9,"Молодой товар и продавец, цена значительно ниже средней, бренд Mijia обычно соответствует качественным продуктам.",1
11958,0,0.6012558869701726,0.9,"Молодой товар и продавец, цена выше средней, бренд Logitech G, описание содержит оригинальную информацию.",1
1482,0,0.6012558869701726,0.8,"Молодой товар и продавец, цена выше средней, бренд Xbox, но описание содержит явное намек на оригинальную продукцию.",1
3097,0,0.11650485436893206,0.9,"Молодой товар и продавец, высокий ценник относительно медианы, бренд MICRO TECHNOLOGY при наличии оригинального имени 'Tourist' — typosquatting.",1
25021,0,0.36363636363636365,0.0,"Предложение очень старое и продавец имеет большое количество возвратов, что указывает на возможную нестабильность или недоработки товара.",0
2060,0,0.6012558869701726,0.9,"Молодой товар и продавец, цена значительно ниже средней, бренд BIG при наличии определенных характеристик - typosquatting геймпада.",1
2102,0,0.1834862385321101,0.9,"```json
{
    ""score"": 0.9,
    ""reason"": ""Название содержит необычное словосочетание 'VD1', возможно, это typo-squatting. Бренд nan может быть ошибкой или фальсификацией. Цена ниже средней, но не сил",1
14586,0,0.14904679376083188,0.9,"Название содержит специфику для Apple, бренд LIGHT SHOP может быть подделкой, цена ниже средней, микроконтроллеры обычно совпадают, но есть угроза подделки.",1
12554,0,0.6785714285714286,0.9,"Молодой товар и продавец, высокий ценовой уровень, бренд Access при наличии специализированного названия — typosquatting геймпада.",1
23870,0,0.10810810810810811,0.9,"Молодой товар и продавец, высокая цена относительно медианы, бренд Glueskin, который обычно выпускает качественные аксессуары.",1
16861,1,0.5000000000000001,0.9,"Предложение похоже на оригинальное, но ценовой дисконтирование заметно выше среднего уровня, что может указывать на контрафактность.",0
12717,0,0.7678571428571429,0.9,error: 'float' object is not subscriptable,1
1473,0,0.4,0.9,"Молодой товар и продавец, цена ниже средней, бренд BS Mi в названии, но не соответствует оригинальному имени.",1
15144,0,0.6012558869701726,0.9,"Название содержит бренд 'nan', что может быть ошибкой или фальсификацией. Цена ниже средней цены на рынке, что указывает на возможное снижение стоимости. Небольшая стоимость и низкий процент возвратов также подтверждают это.",1
13975,0,0.6785714285714286,0.9,"Молодой товар и продавец, цена значительно ниже средней, бренд Foxline в названии содержит специфичное словосочетание 'FLSSD256X5', что может указывать на фишку или недостаток оригинальности.",1
19472,0,0.10810810810810811,0.9,"Молодой товар и продавец, высокая цена относительно медианы, бренд Glueskin, аксессуар из натуральной кожи.",1
8510,0,0.11650485436893206,0.9,"Молодой товар и продавец, цена значительно ниже медианы, бренд Revega Store имеет производство в России.",1
20478,0,0.10810810810810811,0.9,"Молодой товар и продавец, цена выше среднего уровня, бренд Glueskin имеет реальный производственный потенциал.",1
11464,1,0.6012558869701726,0.9,"Название содержит бренд Philips, хотя указан бренд nan. Некорректное описание и цена значительно ниже средней цены в категории.",0
12234,1,0.4,0.9,"Название содержит необычное словосочетание 'nan', что может указывать на ошибку в названии. Бренд nan также вызывает сомнения. Цена соответствует медиане категории, но возраст товара и продавца короткий.",0
2215,0,0.1834862385321101,0.9,"```json
{
    ""score"": 0.9,
    ""reason"": ""Название содержит необычное словосочетание 'Hot 30', возможно, это typo-squatting. Бренд nan может быть ошибкой или фальсификацией. Цена ниже средней, но не ",1
